verTag,model,reason-filter,reason-version,splits,epochs,learning-rate,warmup-steps,batch-size,nTrain,nValidate,nTest,accTest,MCC,nMCC,RocAuc,f1-0,f1-1,num-0,num-1,F1,precision,recall,tp-rate,fp-rate,specificity,decile1-n,d1-pmin,d1-pmax,lift1,ks-stat,ks-decile,TP,TN,FP,FN,timestamp
baseBERT-randomsplits-ep2bSz32nTok64wup0lr1e04dataCNF-v3-2xScrptV3-1,baseBERT,CNF,3-2x,random:80-10-10,2,0.0001,0,32,177959,22245,22245,0.66464374,0,0.500,0.5,0,0.798541723,7460,14785,0.798541723,0.66464374,1,1,1,0,1474,0.673,0.673,0.997,1.234,7,14785,0,7460,0,3/19/24 0:51
baseBERT-randomsplits-ep2bSz32nTok64wup0lr1e05dataCNF-v3-2xScrptV3-1,baseBERT,CNF,3-2x,random:80-10-10,2,1.00E-05,0,32,177959,22245,22245,0.737738818,0.394725568,0.697,0.690336104,0.582868583,0.808746394,7460,14785,0.808746394,0.78471913,0.834291512,0.834291512,0.453619303,0.546380697,2121,0.963,0.988,1.434,38.965,4,12335,4076,3384,2450,3/19/24 0:51
baseBERT-randomsplits-ep2bSz32nTok64wup0lr3e05dataCNF-v3-2xScrptV3-1,baseBERT,CNF,3-2x,random:80-10-10,2,3.00E-05,0,32,177959,22245,22245,0.738952574,0.395626372,0.698,0.689754919,0.581296416,0.810358904,7460,14785,0.810358904,0.783468047,0.839161312,0.839161312,0.459651475,0.540348525,2136,0.967,0.99,1.444,39.429,4,12407,4031,3429,2378,3/19/24 1:21
baseBERT-randomsplits-ep2bSz32nTok64wup0lr2e05dataCNF-v3-2xScrptV3-1,baseBERT,CNF,3-2x,random:80-10-10,2,2.00E-05,0,32,177959,22245,22245,0.73845808,0.396132292,0.698,0.690877193,0.583536149,0.809370904,7460,14785,0.809370904,0.784938036,0.83537369,0.83537369,0.453619303,0.546380697,2127,0.967,0.989,1.438,39.53,4,12351,4076,3384,2434,3/19/24 1:21
baseBERT-randomsplits-ep2bSz32nTok64wup0lr4e05dataCNF-v3-2xScrptV3-1,baseBERT,CNF,3-2x,random:80-10-10,2,4.00E-05,0,32,177959,22245,22245,0.73845808,0.394453707,0.697,0.689183684,0.580473031,0.810005878,7460,14785,0.810005878,0.78310286,0.838823132,0.838823132,0.460455764,0.539544236,2122,0.963,0.985,1.435,39.107,4,12402,4025,3435,2383,3/19/24 1:51
baseBERT-randomsplits-ep2bSz32nTok64wup0lr5e05dataCNF-v3-2xScrptV3-1,baseBERT,CNF,3-2x,random:80-10-10,2,5.00E-05,0,32,177959,22245,22245,0.739986514,0.397706225,0.699,0.69056594,0.582322357,0.811239475,7460,14785,0.811239475,0.783817872,0.840649307,0.840649307,0.459517426,0.540482574,2114,0.963,0.984,1.43,37.917,4,12429,4032,3428,2356,3/19/24 1:51
baseBERT-randomsplits-ep2bSz32nTok64wup0lr7e05dataCNF-v3-2xScrptV3-1,baseBERT,CNF,3-2x,random:80-10-10,2,7.00E-05,0,32,177959,22245,22245,0.731400315,0.377658783,0.689,0.68098532,0.568623204,0.804987108,7460,14785,0.804987108,0.777847862,0.834088603,0.834088603,0.472117962,0.527882038,2085,0.931,0.933,1.41,42.417,5,12332,3938,3522,2453,3/19/24 2:20
baseBERT-randomsplits-ep2bSz32nTok64wup0lr6e05dataCNF-v3-2xScrptV3-1,baseBERT,CNF,3-2x,random:80-10-10,2,6.00E-05,0,32,177959,22245,22245,0.739357159,0.396945926,0.698,0.690590578,0.582637489,0.810510491,7460,14785,0.810510491,0.784164928,0.838687859,0.838687859,0.457506702,0.542493298,2109,0.958,0.979,1.426,39.994,4,12400,4047,3413,2385,3/19/24 2:20
radBERT-randomsplits-ep2bSz32nTok64wup0lr1e04dataCNF-v3-2xScrptV3-1,radBERT,CNF,3-2x,random:80-10-10,2,0.0001,0,32,177959,22245,22245,0.66464374,0,0.500,0.5,0,0.798541723,7460,14785,0.798541723,0.66464374,1,1,1,0,1626,0.574,0.574,1.1,15.571,8,14785,0,7460,0,3/19/24 2:49
radBERT-randomsplits-ep2bSz32nTok64wup0lr1e05dataCNF-v3-2xScrptV3-1,radBERT,CNF,3-2x,random:80-10-10,2,1.00E-05,0,32,177959,22245,22245,0.740391099,0.401938833,0.701,0.69435694,0.588938714,0.810288755,7460,14785,0.810288755,0.787749106,0.834156239,0.834156239,0.445442359,0.554557641,2135,0.964,0.988,1.444,39.328,4,12333,4137,3323,2452,3/19/24 2:50
